trade_date,bar_ts,nav,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash,cash_future,cash_call,cash_put,cash_option,future_ts_code,future_pnl,future_notional,call_ts_code,call_pnl,call_notional,put_ts_code,put_pnl,put_notional,option_pnl,option_notional,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-01-06,2025-01-06T15:00:00.000000,999982.1871641079,0.0,0.0,0.0,0.0,0.0,964356.5153800044,-31718.171784103535,-2122.5,-1785.0,-3907.5,AG2502.SHF,0.0,31718.171784103535,AG2502C7600.SHF,0.0,2122.5,AG2502P7600.SHF,0.0,1785.0,0.0,3907.5,17.812835892051766,15.859085892051768,1.06125,0.8925000000000001,1.95375,3.1721343918483496,open
2025-01-07,2025-01-07T15:00:00.000000,999863.7120677925,-118.47509631539043,-508.47509631539043,1012.5,-622.5,390.0,964238.040283689,0.0,0.0,0.0,0.0,AG2502.SHF,-508.47509631539043,-32229.819014810775,AG2502C7600.SHF,1012.5,3135.0,AG2502P7600.SHF,-622.5,1162.5,390.0,4297.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-08,2025-01-08T15:00:00.000000,999939.5372671842,75.82519939173989,-29.174800608260107,112.5,-7.5,105.0,964313.8654830807,0.0,0.0,0.0,0.0,AG2502.SHF,-29.174800608260107,-32258.99381541903,AG2502C7600.SHF,112.5,3247.5,AG2502P7600.SHF,-7.5,1155.0,105.0,4402.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-09,2025-01-09T15:00:00.000000,999853.6841799928,-85.85308719148883,-70.85308719148883,105.0,-120.0,-15.0,964228.0123958893,0.0,0.0,0.0,0.0,AG2502.SHF,-70.85308719148883,-32329.84690261052,AG2502C7600.SHF,105.0,3352.5,AG2502P7600.SHF,-120.0,1035.0,-15.0,4387.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-10,2025-01-10T15:00:00.000000,999890.2962330516,36.61205305882504,-195.887946941175,480.0,-247.5,232.5,964264.6244489481,0.0,0.0,0.0,0.0,AG2502.SHF,-195.887946941175,-32525.734849551696,AG2502C7600.SHF,480.0,3832.5,AG2502P7600.SHF,-247.5,787.5,232.5,4620.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-13,2025-01-13T15:00:00.000000,999496.1702360929,-394.1259969586995,145.87400304130054,-510.0,-30.0,-540.0,963870.4984519894,0.0,0.0,0.0,0.0,AG2502.SHF,145.87400304130054,-32379.860846510397,AG2502C7600.SHF,-510.0,3322.5,AG2502P7600.SHF,-30.0,757.5,-540.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-14,2025-01-14T15:00:00.000000,999066.372422641,-429.7978134518203,725.2021865481798,-1890.0,735.0,-1155.0,963440.7006385375,0.0,0.0,0.0,0.0,AG2502.SHF,725.2021865481798,-31654.658659962217,AG2502C7600.SHF,-1890.0,1432.5,AG2502P7600.SHF,735.0,1492.5,-1155.0,2925.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-15,2025-01-15T15:00:00.000000,998647.1139586335,-419.2584640075069,-329.2584640075069,525.0,-615.0,-90.0,963021.44217453,0.0,0.0,0.0,0.0,AG2502.SHF,-329.2584640075069,-31983.91712396972,AG2502C7600.SHF,525.0,1957.5,AG2502P7600.SHF,-615.0,877.5,-90.0,2835.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-16,2025-01-16T15:00:00.000000,999728.8060245046,0.0,0.0,0.0,0.0,0.0,999728.8060245046,32720.72671333133,3757.5,247.5,4005.0,AG2502.SHF,0.0,0.0,AG2502C7600.SHF,0.0,0.0,AG2502P7600.SHF,0.0,0.0,0.0,0.0,18.362863356665667,16.360363356665665,1.8787500000000001,0.12375,2.0025,3.2717454967828488,close
2025-01-16,2025-01-16T15:00:00.000000,999711.5300634858,0.0,0.0,0.0,0.0,0.0,965159.6080258705,-27981.922037615375,-2940.0,-3630.0,-6570.0,AG2503.SHF,0.0,27981.922037615375,AG2503C7900.SHF,0.0,2940.0,AG2503P7900.SHF,0.0,3630.0,0.0,6570.0,17.27596101880769,13.990961018807688,1.47,1.815,3.285,2.797912412519053,open
2025-01-17,2025-01-17T15:00:00.000000,999767.2881962636,55.75813277774168,-131.74186722225832,67.5,120.0,187.5,965215.3661586483,0.0,0.0,0.0,0.0,AG2503.SHF,-131.74186722225832,27847.3822579806,AG2503C7900.SHF,67.5,3007.5,AG2503P7900.SHF,120.0,3750.0,187.5,6757.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-20,2025-01-20T15:00:00.000000,999602.9709628852,-164.31723337843982,-224.3172333784398,-840.0,900.0,60.0,965051.0489252699,0.0,0.0,0.0,0.0,AG2503.SHF,-224.3172333784398,27623.06502460216,AG2503C7900.SHF,-840.0,2167.5,AG2503P7900.SHF,900.0,4650.0,60.0,6817.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-21,2025-01-21T15:00:00.000000,999146.3798279753,-456.5911349098953,53.40886509010472,37.5,-547.5,-510.0,964594.45779036,0.0,0.0,0.0,0.0,AG2503.SHF,53.40886509010472,27676.473889692264,AG2503C7900.SHF,37.5,2205.0,AG2503P7900.SHF,-547.5,4102.5,-510.0,6307.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-22,2025-01-22T15:00:00.000000,999310.0157851375,163.6359571621885,96.13595716218849,225.0,-157.5,67.5,964758.0937475222,0.0,0.0,0.0,0.0,AG2503.SHF,96.13595716218849,27772.60984685445,AG2503C7900.SHF,225.0,2430.0,AG2503P7900.SHF,-157.5,3945.0,67.5,6375.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-23,2025-01-23T15:00:00.000000,998880.244367615,-429.7714175226074,-309.77141752260735,-645.0,525.0,-120.0,964328.3223299996,0.0,0.0,0.0,0.0,AG2503.SHF,-309.77141752260735,27462.838429331845,AG2503C7900.SHF,-645.0,1785.0,AG2503P7900.SHF,525.0,4470.0,-120.0,6255.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
