trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position
2025-01-06,2025-01-06T23:45:00.000000,AG2502.SHF,7692.0,15.0,AG2502C7700.SHF,127.0,AG2502P7700.SHF,134.0,15.0,0.00016394263959390866,0.0410958904109589,0.2,0.2,0.5081276942326092,-0.4918723057673752,0.016255388465234,-0.016255388465234
2025-01-07,2025-01-07T23:45:00.000000,AG2502.SHF,7724.0,15.0,AG2502C7700.SHF,145.5,AG2502P7700.SHF,122.5,15.0,0.0001616,0.038356164383561646,0.21053454697132107,0.20900612637400626,0.5527126005655627,-0.4473463357381543,0.1053662648274084,-0.1053662648274084
2025-01-08,2025-01-08T23:45:00.000000,AG2502.SHF,7754.0,15.0,AG2502C7700.SHF,161.5,AG2502P7700.SHF,107.0,15.0,0.000164,0.03561643835616438,0.22045064374804493,0.22219535559415815,0.5527823504945392,-0.44715278068967806,0.1056295698048611,-0.1056295698048611
2025-01-09,2025-01-09T23:45:00.000000,AG2502.SHF,7781.0,15.0,AG2502C7700.SHF,175.0,AG2502P7700.SHF,93.0,15.0,0.00016662857142857142,0.03287671232876712,0.22775256395339966,0.22696775943040848,0.6390562076801151,-0.36097034350641993,0.27808586417369513,-0.27808586417369513
2025-01-10,2025-01-10T23:45:00.000000,AG2502.SHF,7806.0,15.0,AG2502C7700.SHF,188.0,AG2502P7700.SHF,82.0,15.0,0.00017485714285714286,0.030136986301369864,0.23327733159065245,0.2314728386700153,0.6389052007073798,-0.36115325664779047,0.2777519440595893,-0.2777519440595893
2025-01-11,2025-01-11T02:30:00.000000,AG2502.SHF,7787.0,15.0,AG2502C7700.SHF,168.0,AG2502P7700.SHF,77.0,15.0,0.02,0.0273972602739726,0.23779557690024378,0.23787531465291972,0.6438604279054673,-0.35613884960101705,0.2877215783044502,-0.2877215783044502
2025-01-13,2025-01-13T23:45:00.000000,AG2502.SHF,7636.0,15.0,AG2502C7700.SHF,73.0,AG2502P7700.SHF,136.5,15.0,0.00019537142857142857,0.021917808219178082,0.22791263252496718,0.22836448967456813,0.37522541732311715,-0.6247619543611137,-0.24953653703799655,0.24953653703799655
2025-01-14,2025-01-14T23:45:00.000000,AG2502.SHF,7633.0,15.0,AG2502C7700.SHF,61.5,AG2502P7700.SHF,128.0,15.0,0.0002162,0.019178082191780823,0.22492369741201396,0.22383607327938077,0.37473465469436706,-0.625293735453766,-0.2505590807593989,0.2505590807593989
2025-01-15,2025-01-15T23:45:00.000000,AG2502.SHF,7749.0,15.0,AG2502C7700.SHF,116.5,AG2502P7700.SHF,66.0,15.0,0.00020695000000000002,0.01643835616438356,0.21462124764919283,0.21345575392246247,0.6237616547396548,-0.37482262953714296,0.24893902520251188,-0.24893902520251188
2025-01-16,2025-01-16T23:45:00.000000,AG2503.SHF,7867.0,15.0,AG2503C7900.SHF,205.0,AG2503P7900.SHF,241.0,15.0,0.00016800123287671233,0.10684931506849316,0.2,0.2,0.46866689992283334,-0.5313331000771865,-0.06266620015435315,0.06266620015435315
2025-01-17,2025-01-17T23:45:00.000000,AG2503.SHF,7755.0,15.0,AG2503C7900.SHF,149.0,AG2503P7900.SHF,332.5,15.0,0.00016866287671232874,0.10410958904109589,0.21467960536479952,0.21774718105792995,0.38204990761867585,-0.6177621410358963,-0.23571223341722047,0.23571223341722047
2025-01-18,2025-01-18T02:30:00.000000,AG2503.SHF,7759.0,15.0,AG2503C7900.SHF,149.0,AG2503P7900.SHF,332.5,15.0,0.02,0.10136986301369863,0.2119094820320606,0.2523786599934101,0.39314965935264773,-0.5528076461369389,-0.15965798678429116,0.15965798678429116
2025-01-20,2025-01-20T23:45:00.000000,AG2503.SHF,7726.0,15.0,AG2503C7900.SHF,137.5,AG2503P7900.SHF,319.0,15.0,0.00016920856164383562,0.0958904109589041,0.20664735376834864,0.26765871450304984,0.38104091899977405,-0.6153655905095405,-0.2343246715097665,0.2343246715097665
