trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position,gamma_call,gamma_put,vega_call,vega_put,theta_call,theta_put,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-01-06,2025-01-06T15:00:00.000000,AG2502.SHF,7611.0,15.0,AG2502C7600.SHF,141.5,AG2502P7600.SHF,119.0,15.0,0.00016394263959390866,0.0410958904109589,0.2,0.2,0.6389276219440856,-0.3610723780558941,0.2778552438881915,-0.2778552438881915,-8.183223336851519e-15,1.9254643145532988e-15,5.858984284141639,5.858984284161534,-5.804113174051054,-5.799168904003295,999982.1871641079,4757.7257676155305,991316.9613964924,0.0,0.0,0.0,0.0,0.0,-4773.584853507582,-2123.56125,-1785.8925,-3909.45375,-15.859085892051768,-1.06125,-0.8925000000000001,-1.95375,8665.225767615531,4757.7257676155305,2122.5,1785.0,3907.5,17.812835892051766,15.859085892051768,1.06125,0.8925000000000001,1.95375,3.1721343918483496,open
2025-01-07,2025-01-07T15:00:00.000000,AG2502.SHF,7733.0,15.0,AG2502C7600.SHF,209.0,AG2502P7600.SHF,77.5,15.0,0.0001616,0.038356164383561646,0.22097764238715167,0.20230160176753997,0.7191942539018303,-0.2814198268248788,0.4377744270769515,-0.4377744270769515,-1.0827694493709847e-14,3.7661546065077726e-15,5.14952318470791,5.149645210157034,-6.0505229608099,-5.534778239261904,999854.4380824568,7616.185005648616,987940.7530768083,-118.47509631539043,-508.47509631539043,1012.5,-622.5,390.0,-3376.208319684184,0.0,0.0,0.0,-517.7490816510979,1012.5,-622.5,390.0,,7616.185005648616,3135.0,1162.5,4297.5,9.273985335707412,9.273985335707412,0.0,0.0,0.0,1.8549825653976275,mtm
2025-01-08,2025-01-08T15:00:00.000000,AG2502.SHF,7740.0,15.0,AG2502C7600.SHF,216.5,AG2502P7600.SHF,77.0,15.0,0.000164,0.03561643835616438,0.2201222333312034,0.2228468981385231,0.7188999211187972,-0.2810137099772475,0.4378862111415497,-0.4378862111415497,-8.47384786464249e-15,4.707693258134716e-15,4.962287878022662,4.962270355800831,-6.2682544021744775,-6.340821026418041,999913.4652791977,7625.025788193384,987885.9394910045,59.033685156920086,-45.96631484307991,112.5,-7.5,105.0,-54.813585803890874,0.0,0.0,0.0,-45.97280325912334,112.5,-7.5,105.0,,7625.025788193384,3247.5,1155.0,4402.5,0.006488416043428417,0.006488416043428417,0.0,0.0,0.0,0.0012978129899852554,mtm
2025-01-09,2025-01-09T15:00:00.000000,AG2502.SHF,7757.0,15.0,AG2502C7600.SHF,223.5,AG2502P7600.SHF,69.0,15.0,0.00016662857142857142,0.03287671232876712,0.23395950600504875,0.23495401874184607,0.6392662155438888,-0.3607001331669402,0.27856608237694863,-0.27856608237694863,-1.3844068996447143e-14,1.1457160548783842e-14,5.251225757602943,5.251217543525825,-7.65616601391261,-7.683657585404703,999777.5345216807,4862.369665593203,990527.6648560878,-126.66098384109516,-111.66098384109516,105.0,-120.0,-15.0,2641.7253650832045,0.0,0.0,0.0,-120.93075751697685,105.0,-120.0,-15.0,,4862.369665593203,3352.5,1035.0,4387.5,9.269773675881698,9.269773675881698,0.0,0.0,0.0,1.8537693582408563,mtm
2025-01-10,2025-01-10T15:00:00.000000,AG2502.SHF,7804.0,15.0,AG2502C7600.SHF,255.5,AG2502P7600.SHF,52.5,15.0,0.00017485714285714286,0.030136986301369864,0.23447568118572232,0.23981120139360423,0.7187545603880079,-0.2810897597466732,0.4376648006413347,-0.4376648006413347,-1.2609951130396722e-14,5.954699144909562e-15,4.573747299541382,4.573718034134911,-6.952488472764713,-7.430790982294802,999804.3343168297,7684.18773883775,987500.1465779922,36.11091192425124,-196.3890880757488,480.0,-247.5,232.5,-3027.5182780955124,0.0,0.0,0.0,-205.7002048509653,480.0,-247.5,232.5,,7684.18773883775,3832.5,787.5,4620.0,9.311116775216515,9.311116775216515,0.0,0.0,0.0,1.8624095960020555,mtm
2025-01-13,2025-01-13T15:00:00.000000,AG2502.SHF,7769.0,15.0,AG2502C7600.SHF,221.5,AG2502P7600.SHF,50.5,15.0,0.00019537142857142857,0.021917808219178082,0.2409787115454673,0.2432522308826446,0.7882304418099007,-0.21172102262235992,0.5765094191875407,-0.5765094191875407,-2.0087664456072615e-14,6.189803582394469e-15,3.3561802285023488,3.3561758956133487,-7.691382817325604,-7.7579909074419575,999486.0190173681,10076.521021875533,985329.4979954929,-310.2259796632993,229.7740203367007,-510.0,-30.0,-540.0,-2170.6485824993424,0.0,0.0,0.0,221.68470053844075,-510.0,-30.0,-540.0,,10076.521021875533,3322.5,757.5,4080.0,8.089319798259949,8.089319798259949,0.0,0.0,0.0,1.618025762227882,mtm
2025-01-14,2025-01-14T15:00:00.000000,AG2502.SHF,7595.0,15.0,AG2502C7600.SHF,95.5,AG2502P7600.SHF,99.5,15.0,0.0002162,0.019178082191780823,0.259884061217308,0.254829832315445,0.6380527576988895,-0.3620779595348325,0.27597479816405696,-0.27597479816405696,-1.497296893238142e-14,5.0714894770969335e-15,3.999304278090199,3.999324137962411,-11.379591821612962,-11.151900016983163,999818.5876861772,4716.535938559241,992177.0517476182,349.6895840794814,1504.6895840794814,-1890.0,735.0,-1155.0,6847.553752125388,0.0,0.0,0.0,1487.5686688090962,-1890.0,735.0,-1155.0,,4716.535938559241,1432.5,1492.5,2925.0,17.1209152703852,17.1209152703852,0.0,0.0,0.0,3.4238406700105637,mtm
2025-01-15,2025-01-15T15:00:00.000000,AG2502.SHF,7674.0,15.0,AG2502C7600.SHF,130.5,AG2502P7600.SHF,58.5,15.0,0.00020695000000000002,0.01643835616438356,0.23364936202764508,0.2313345059752464,0.4942990022065585,-0.5057595820088101,-0.011460579802251625,0.011460579802251625,0.008622293263819632,0.008622312332812791,3.8742661073900173,3.8742747620559506,-11.68280318072162,-11.56086885894787,999385.0125528397,197.90388956569322,996352.1086632742,-417.0301358244075,-327.0301358244075,525.0,-615.0,-90.0,4175.056915655971,0.0,0.0,0.0,-343.5751333375763,525.0,-615.0,-90.0,,197.90388956569322,1957.5,877.5,2835.0,16.544997513168777,16.544997513168777,0.0,0.0,0.0,3.308668635768992,mtm
2025-01-16,2025-01-16T15:00:00.000000,AG2503.SHF,7858.0,15.0,AG2503C7900.SHF,196.0,AG2503P7900.SHF,242.0,15.0,0.00016800123287671233,0.10684931506849316,0.2,0.2,0.38131363313309974,-0.6186863668668985,-0.23737273373379875,0.23737273373379875,-5.2484774041387604e-15,7.634148951474561e-15,9.651376741076271,9.651376741070234,-3.6201848322568537,-3.6149182196683682,1000565.3153483372,4197.288305642306,989798.0270426951,0.0,0.0,0.0,0.0,0.0,-4211.279266661114,-2941.47,-3631.815,-6573.284999999999,-13.990961018807688,-1.47,-1.815,-3.285,10767.288305642305,4197.288305642306,2940.0,3630.0,6570.0,17.27596101880769,13.990961018807688,1.47,1.815,3.285,2.797912412519053,open
2025-01-17,2025-01-17T15:00:00.000000,AG2503.SHF,7821.0,15.0,AG2503C7900.SHF,200.5,AG2503P7900.SHF,250.0,15.0,0.00016866287671232874,0.10410958904109589,0.2100164146721363,0.21406254962086677,0.46913715963647784,-0.5306043466231941,-0.06146718698671627,0.06146718698671627,-2.3025933703306167e-15,9.67089215538859e-15,10.103360408096682,10.103124677441766,-4.085606970539828,-4.158892516137541,1000610.7563333246,1081.5452908563727,992771.7110424684,55.75813277774168,-131.74186722225832,67.5,120.0,187.5,2973.6839997733186,0.0,0.0,0.0,-142.05901501261448,67.5,120.0,187.5,,1081.5452908563727,3007.5,3750.0,6757.5,10.31714779035616,10.31714779035616,0.0,0.0,0.0,2.063635921664335,mtm
